headerdatestamp|headeridentifier|headersetSpec|metadata.mods.genre#text|metadata.mods.genre@authority|metadata.mods.identifier#text|metadata.mods.identifier@type|metadata.mods.location.url.0#text|metadata.mods.location.url.0@access|metadata.mods.location.url.0@usage|metadata.mods.location.url.1#text|metadata.mods.location.url.1@access|metadata.mods.name.role.roleTerm#text|metadata.mods.name.role.roleTerm@type|metadata.mods.namenamePart|metadata.mods.note.0|metadata.mods.note.1|metadata.mods.note.1#text|metadata.mods.note.1@displayLabel|metadata.mods.note.2#text|metadata.mods.note.2@displayLabel|metadata.mods.originInfodateOther|metadata.mods.physicalDescriptioninternetMediaType|metadata.mods.subject.0topic|metadata.mods.subject.1topic|metadata.mods.subject.2topic|metadata.mods.subject.3topic|metadata.mods.subject.4topic|metadata.mods.subject.5topic|metadata.mods.subject.6topic|metadata.mods.subject.7topic|metadata.mods.subjecttopic|metadata.mods.titleInfotitle|metadata.mods@version|metadata.mods@xmlns|metadata.mods@xmlns:xlink|metadata.mods@xmlns:xsi|metadata.mods@xsi:schemaLocation|metadata.modsaccessCondition|metadata.modstypeOfResource
2020-08-11T23:30:48Z|kintner_21|kintner|image|dct|5130-5135|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A21|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A21/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|uncaptioned|    |This object was added to the Digital Preservation Network in November 2017.|dpn|    |    |February 1973|image/jpeg|    |    |    |    |    |    |    |    |High Rocks|View from High Rocks|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_35|kintner|image|dct|7731-7732-annotated|local|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A35|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A35/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|A view of the AT to the east from Jumpoff|View looking East from the Jump-Off on Mount Kephart looking at Porters Mountain on left and Richland Mountain on right.|    |    |This object was added to the Digital Preservation Network in November 2017.|dpn|1975 July 23|image/jpeg|Appalachian Trail|The Jump-off|Mount Kephart|Porters Mountain|Richland Mountain|Annotated|    |    |    |View of the Appalachian Trail ? Annotated|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_42|kintner|image|dct|7893-7894-annotated|local|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A42|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A42/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|From Spruce Mtn tower looking to NW; LeConte, Porter Gap, Sequoyah, Chapman, Guyot - old Black|Panorama taken looking Northeast from the Spruce Mountain Fire Tower with Laurel Top at left and Old Black at right. Spruce Mountain Fire Tower is no longer standing.|    |    |This object was added to the Digital Preservation Network in November 2017.|dpn|1975 September 9|image/jpeg|Spruce Mountain|Mount Le Conte|Porters Gap|Mount Guyot|Mount Sequoyah|Mount Chapman|Old Black|Annotated|    |View from Spruce Mountain Tower ? Annotated|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_44|kintner|image|dct|8069-8070|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A44|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A44/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|"(69) ""High Rocks and Welch Ridge south Silers Bald"" / ""On Oct 21?"" / (70) ""Forney Ridge in distance from Silers Bald"" / ""On Oct 21?"""|    |This object was added to the Digital Preservation Network in November 2017.|dpn|    |    |1975 Ocboter 21|image/jpeg|High Rocks|Welch Ridge|Silers Bald|Forney Ridge|    |    |    |    |    |High Rocks and Welch Ridge from south Silers Bald|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_22|kintner|image|dct|5137-5138|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A22|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A22/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|uncaptioned|    |This object was added to the Digital Preservation Network in November 2017.|dpn|    |    |February 1973|image/jpeg|    |    |    |    |    |    |    |    |High Rocks|View from High Rocks|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_51|kintner|image|dct|9630-9632|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A51|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A51/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|"Then as we looked to the north we saw the rest Slickrock valley and Chilhowees in distance. / ""9 Apr 1977?"""|    |This object was added to the Digital Preservation Network in November 2017.|dpn|    |    |1977 April 09|image/jpeg|    |    |    |    |    |    |    |    |    |Silkrock Valley and Chilhowees|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_30|kintner|image|dct|6994-6995|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A30|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A30/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|Thermal inversion, 40 below and 55 on top, looking toward Le Conte.|    |This object was added to the Digital Preservation Network in November 2017.|dpn|    |    |December 26, 1974|image/jpeg|Cove Mountain|Mount Le Conte|    |    |    |    |    |    |    |Looking toward Mount Le Conte|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_41|kintner|image|dct|7782-7783|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A41|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A41/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|"Fontana Village from Shuckstack / ""30 Jul?"""|    |This object was added to the Digital Preservation Network in November 2017.|dpn|    |    |1975 July 30|image/jpeg|Fontana Old Town|Shuckstack|    |    |    |    |    |    |    |View of Fontana Village|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_9|kintner|image|dct|1552-1553-annotated|local|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A9|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A9/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|uncaptioned|Panorama taken looking East from the Rich Mountain Fire Tower with Sugarland Mountain on left and Cold Spring Knob on right. The fire tower is no longer standing.|    |    |This object was added to the Digital Preservation Network in November 2017.|dpn|February 5, 1969|image/jpeg|Rich Mountain|Cold Spring Knob|Sugarland Mountain|Annotated|    |    |    |    |    |View from Rich Mountain ? Annotated|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_31|kintner|image|dct|7110-7111|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A31|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A31/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|uncaptioned|View from Spence Field.|    |    |This object was added to the Digital Preservation Network in November 2017.|dpn|circa January 1975|image/jpeg|    |    |    |    |    |    |    |    |Spence Field|View from Spence Field|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_20|kintner|image|dct|5123-5129|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A20|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A20/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|view from High Rocks.|Panorama taken looking North from High Rocks Fire Tower, which was removed in the 1980s, viewing Thunderhead of left,  with Silers Bald and The Narrows on right.|    |    |This object was added to the Digital Preservation Network in November 2017.|dpn|February 1973|image/jpeg|High Rocks|Thunderhead Mountain|Silers Bald|The Narrows|    |    |    |    |    |View from High Rocks|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_27|kintner|image|dct|6265-6267-annotated|local|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A27|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A27/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|Hike to Shuckstack where there was a little frost.|View of Lake Fontana taken looking Southeast from Shuckstack Fire Tower, which is still standing.|    |    |This object was added to the Digital Preservation Network in November 2017.|dpn|February 23, 1974|image/jpeg|Shuckstack|Fontana Lake|Annotated|    |    |    |    |    |    |Panorama of Lake Fontana ? Annotated|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_46|kintner|image|dct|8186-8187|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A46|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A46/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|"Bryson City area from Noland Divide / ""On 6 Dec 1975 hiked Deep Creek & Noland Divide"""|    |This object was added to the Digital Preservation Network in November 2017.|dpn|    |    |1975 December 06|image/jpeg|Bryson City|Noland Divide|Deep Creek|    |    |    |    |    |    |View of Bryson City from Noland Divide|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_28|kintner|image|dct|6265-6267|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A28|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A28/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|Hike to Shuckstack where there was a little frost.|View of Lake Fontana taken looking Southeast from Shuckstack Fire Tower, which is still standing.|    |    |This object was added to the Digital Preservation Network in November 2017.|dpn|February 23, 1974|image/jpeg|Shuckstack|Fontana Lake|    |    |    |    |    |    |    |Panorama of Lake Fontana|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_2|kintner|image|dct|1118-1120|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A2|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A2/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|uncaptioned|    |This object was added to the Digital Preservation Network in November 2017.|dpn|    |    |July 1968|image/jpeg|    |    |    |    |    |    |    |    |    |Sunrise or Sunset in the Smokies|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_11|kintner|image|dct|2041-2042|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A11|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A11/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|Ethel and I hiked up to Bunker Hill FireTower?The middle panorama is looking south east at the Smokies?|Panorama taken looking Southeast from Bunker Hill Fire Tower, which no longer exists.|    |    |This object was added to the Digital Preservation Network in November 2017.|dpn|November 8, 1969|image/jpeg|    |    |    |    |    |    |    |    |Bunker Hill|Panorama from Bunker Hill Fire Tower|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_50|kintner|image|dct|9303-9305|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A50|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A50/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|"Unicoi Mountain Range from bald near Farr Gap / ""18 Dec 1976 hiked up Little Slickrock to Little Shuckstack and down Slickrock Creek"""|Part of 5 picture panorama viewing Unicoi Mountain Range from a bald near Farr Gap.|    |    |This object was added to the Digital Preservation Network in November 2017.|dpn|1976 December 18|image/jpeg|    |    |    |    |    |    |    |    |    |Unicoi Mountain Range|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_7|kintner|image|dct|1549-1550-annotated|local|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A7|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A7/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|uncaptioned|Panorama taken looking South from the Rich Mountain Fire Tower, which no longer exists, viewing Cold Spring Knob on left, Gregory Bald on right, and Cades Cove below.|    |    |This object was added to the Digital Preservation Network in November 2017.|dpn|circa February 5, 1969|image/jpeg|Rich Mountain|Cold Spring Knob|Gregory Bald|Cades Cove|Annotated|    |    |    |    |View from Rich Mountain ? Annotated|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_36|kintner|image|dct|7731-7732|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A36|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A36/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|A view of the AT to the east from Jumpoff|View looking East from the Jump-Off on Mount Kephart looking at Porters Mountain on left and Richland Mountain on right.|    |    |This object was added to the Digital Preservation Network in November 2017.|dpn|1975 July 23|image/jpeg|Appalachian Trail|The Jump-off|Mount Kephart|Porters Mountain|Richland Mountain|    |    |    |    |View of the Appalachian Trail|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
